Analysis,Well,Sample,Excluded,Tm,Call,dTm,Slope,Initial,Low,Peak,Message
Program - SYPRO Orange - All Samples,B02,Sample 26,FALSE,63.84603052,Positive,,0.713034639,40.43586859,31.08360082,36.30967618,
Program - SYPRO Orange - All Samples,B03,Sample 27,FALSE,65.91641133,Positive,,0.53739208,39.47701866,27.56322755,30.62266034,
Program - SYPRO Orange - All Samples,B04,Sample 28,FALSE,66.54184174,Positive,,0.648065893,38.45757866,26.04488786,29.62433399,
Program - SYPRO Orange - All Samples,B05,Sample 29,FALSE,66.64258032,Positive,,0.674523103,49.20008689,27.45658024,31.45856003,
Program - SYPRO Orange - All Samples,B06,Sample 30,FALSE,66.36565992,Positive,,0.590953136,26.57369898,17.35737641,21.08892497,
Program - SYPRO Orange - All Samples,B07,Sample 31,FALSE,66.26146107,Positive,,1.279896316,34.86358473,23.17863872,31.0764378,
Program - SYPRO Orange - All Samples,B08,Sample 32,FALSE,66.74829601,Positive,,0.6155838,26.06646315,16.1815447,19.67953552,
Program - SYPRO Orange - All Samples,B09,Sample 33,FALSE,66.46560804,Positive,,0.512962282,21.82029693,14.15098475,17.18751711,
Program - SYPRO Orange - All Samples,B10,Sample 34,FALSE,65.88422941,Positive,,0.345613452,20.39093883,13.48267197,15.4913581,
Program - SYPRO Orange - All Samples,B11,Sample 35,FALSE,65.60929828,Positive,,0.454863686,22.93869497,15.44298919,18.25993543,
Program - SYPRO Orange - All Samples,B12,Sample 36,FALSE,65.27825154,Positive,,0.328470498,22.51714801,15.58918846,17.78863056,
Program - SYPRO Orange - All Samples,B13,Sample 37,FALSE,66.58964519,Positive,,0.337360372,21.10085601,12.01358142,13.64316066,
Program - SYPRO Orange - All Samples,B14,Sample 38,FALSE,63.3769723,Positive,,0.352882208,27.4120299,20.43513132,22.99586728,
Program - SYPRO Orange - All Samples,B15,Sample 39,FALSE,65.9895311,Positive,,0.340727849,24.38057089,18.27375723,20.57629562,
Program - SYPRO Orange - All Samples,B16,Sample 40,FALSE,66.79553852,Positive,,0.424396458,21.12239217,15.28832996,18.16156095,
Program - SYPRO Orange - All Samples,B17,Sample 41,FALSE,66.45666236,Positive,,0.509888115,25.5005754,18.63663243,22.05582522,
Program - SYPRO Orange - All Samples,B18,Sample 42,FALSE,66.51145948,Positive,,0.500046798,17.85875439,12.37620527,15.77437965,
Program - SYPRO Orange - All Samples,B19,Sample 43,FALSE,66.55738836,Positive,,0.734371781,20.10655996,14.15047816,18.82703682,
Program - SYPRO Orange - All Samples,B20,Sample 44,FALSE,66.60398892,Positive,,0.448239407,17.86270174,12.47208907,15.02459699,
Program - SYPRO Orange - All Samples,B21,Sample 45,FALSE,66.74204806,Positive,,0.378629847,18.85493442,11.76738435,13.83988148,
Program - SYPRO Orange - All Samples,B22,Sample 46,FALSE,66.14943188,Positive,,0.340264107,21.29693323,14.54903946,16.50985184,
Program - SYPRO Orange - All Samples,B23,Sample 47,FALSE,65.82638773,Positive,,0.270143767,20.69599647,13.89747926,15.40708388,
Program - SYPRO Orange - All Samples,B24,Sample 48,FALSE,65.6945498,Positive,,0.330410742,24.62079442,16.79299225,19.01059496,
Program - SYPRO Orange - All Samples,C01,Sample 49,FALSE,66.257399,Positive,,0.528102743,26.01485984,16.7807797,19.65855437,
Program - SYPRO Orange - All Samples,C02,Sample 50,FALSE,64.44056306,Positive,,0.424492721,50.99098852,32.91883383,35.31323753,
Program - SYPRO Orange - All Samples,C03,Sample 51,FALSE,66.20028813,Positive,,0.595528875,37.0906382,27.25335663,30.81837526,
Program - SYPRO Orange - All Samples,C04,Sample 52,FALSE,66.58120331,Positive,,0.476308025,23.01491425,17.22864806,20.21842672,
Program - SYPRO Orange - All Samples,C05,Sample 53,FALSE,66.26267416,Positive,,0.459868984,19.54680928,15.65040767,18.82448436,
Program - SYPRO Orange - All Samples,C06,Sample 54,FALSE,66.29934858,Positive,,0.268173209,14.01583108,9.503407972,11.22879312,
Program - SYPRO Orange - All Samples,C07,Sample 55,FALSE,66.20792503,Positive,,0.362878754,15.67081347,11.13912318,13.32403255,
Program - SYPRO Orange - All Samples,C08,Sample 56,FALSE,66.74284485,Positive,,0.624564231,24.48443859,16.39552977,19.98777737,
Program - SYPRO Orange - All Samples,C09,Sample 57,FALSE,66.2541778,Positive,,0.366634076,18.61307622,13.64853976,15.8866814,
Program - SYPRO Orange - All Samples,C10,Sample 58,FALSE,65.82469458,Positive,,0.38936207,28.01951888,18.5493315,20.73057269,
Program - SYPRO Orange - All Samples,C11,Sample 59,FALSE,65.37848499,Positive,,0.476353499,35.42843008,24.48427978,27.33928116,
Program - SYPRO Orange - All Samples,C12,Sample 60,FALSE,65.27925587,Positive,,0.294364465,28.08983575,20.12403656,21.88348083,
Program - SYPRO Orange - All Samples,C13,Sample 61,FALSE,66.39753486,Positive,,0.178901837,14.2749656,8.858118884,9.821416446,
Program - SYPRO Orange - All Samples,C14,Sample 62,FALSE,63.93203968,Positive,,0.381078104,34.04602736,23.56917595,26.18897323,
Program - SYPRO Orange - All Samples,C15,Sample 63,FALSE,65.83383687,Positive,,0.351363912,36.03972766,25.47907269,27.4325326,
Program - SYPRO Orange - All Samples,C16,Sample 64,FALSE,66.69527923,Positive,,0.468548082,37.74009619,23.16108929,25.64052995,
Program - SYPRO Orange - All Samples,C17,Sample 65,FALSE,66.47025106,Positive,,0.391060607,20.30026809,15.07225862,17.69572007,
Program - SYPRO Orange - All Samples,C18,Sample 66,FALSE,66.53599269,Positive,,0.531341667,21.10266554,14.75913483,18.18807277,
Program - SYPRO Orange - All Samples,C19,Sample 67,FALSE,66.6356808,Positive,,0.48654132,21.13272141,14.05592675,16.89153023,
Program - SYPRO Orange - All Samples,C20,Sample 68,FALSE,66.79196103,Positive,,0.441570977,22.32054733,14.69949504,17.10021558,
Program - SYPRO Orange - All Samples,C21,Sample 69,FALSE,66.42591471,Positive,,0.618378561,37.45431843,23.67368488,27.00221629,
Program - SYPRO Orange - All Samples,C22,Sample 70,FALSE,66.21498321,Positive,,0.427102831,28.10165638,19.39334968,21.9292739,
Program - SYPRO Orange - All Samples,C23,Sample 71,FALSE,65.85475709,Positive,,0.283936469,22.64547601,15.47439215,17.16272942,
Program - SYPRO Orange - All Samples,C24,Sample 72,FALSE,65.78924253,Positive,,0.268383303,25.39727177,17.62678479,19.2816187,
Program - SYPRO Orange - All Samples,D01,Sample 73,FALSE,66.28342965,Positive,,0.543951134,28.08256377,18.97785265,22.11262661,
Program - SYPRO Orange - All Samples,D02,Sample 74,FALSE,64.66620179,Positive,,0.358202638,42.19677077,28.42403797,30.46840509,
Program - SYPRO Orange - All Samples,D03,Sample 75,FALSE,66.31546874,Positive,,0.420014456,30.18196838,22.92269735,25.59590038,
Program - SYPRO Orange - All Samples,D04,Sample 76,FALSE,66.94074864,Positive,,0.520600803,28.09121659,20.56338868,23.82624306,
Program - SYPRO Orange - All Samples,D05,Sample 77,FALSE,66.48181312,Positive,,0.56989911,24.75070633,17.89716829,21.53109828,
Program - SYPRO Orange - All Samples,D06,Sample 78,FALSE,66.28742932,Positive,,0.496629526,25.43730037,17.60638844,20.65067405,
Program - SYPRO Orange - All Samples,D07,Sample 79,FALSE,66.2671505,Positive,,0.538121981,28.56476621,19.05044552,22.22848588,
Program - SYPRO Orange - All Samples,D08,Sample 80,FALSE,66.6714597,Positive,,0.287113655,34.90891559,20.49798521,21.82751919,
Program - SYPRO Orange - All Samples,D09,Sample 81,FALSE,66.39103968,Positive,,0.638745752,30.04281928,21.54458526,25.87250317,
Program - SYPRO Orange - All Samples,D10,Sample 82,FALSE,65.84275446,Positive,,0.411084346,27.05848938,19.60065839,22.20231937,
Program - SYPRO Orange - All Samples,D11,Sample 83,FALSE,65.28324922,Positive,,0.263125196,34.18845708,24.42010245,25.82720684,
Program - SYPRO Orange - All Samples,D12,Sample 84,FALSE,65.45865931,Positive,,0.284642413,23.31299098,18.04325077,20.06624105,
